name,thumb,price,images,main_image,cpu_tech,cpu_cores,cpu_threads,cpu_speed,npu,ai_tops,gpu,gpu_cores,gpu_tgp,ram,ram_type,ram_bus,ram_max,storage,screen_size,screen_resolution,panel_type,refresh_rate,screen_tech,color_gamut,touch_screen,ports,wireless,webcam,keyboard_backlight,security,audio_tech,cooling,other_features,card_reader,battery,os,release_date,dimensions,material,brand,phanloai
MacBook Air 13 inch M4 16GB/256GB,https://cdn.tgdd.vn/Products/Images/44/335362/macbook-air-13-inch-m4-xanh-den-600x600.jpg,24290000.0,https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/44/335362/macbook-air-13-inch-m4-16gb-256gb-tgdd-1-638768909105991664-750x500.jpg; https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/44/335362/macbook-air-13-inch-m4-16gb-256gb-tgdd-2-638768909112234928-750x500.jpg; https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/44/335362/macbook-air-13-inch-m4-16gb-256gb-tgdd-3-638768909124025605-750x500.jpg; https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/44/335362/macbook-air-13-inch-m4-16gb-256gb-tgdd-4-638768909132256608-750x500.jpg; https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/44/335362/macbook-air-13-inch-m4-16gb-256gb-tgdd-5-638768909140280124-750x500.jpg,,Apple M4 - Hãng không công bố,10,Hãng không công bố,120 GB/s memory bandwidth,,,Card tích hợp - 8 nhân GPU,,,16 GB,Hãng không công bố,Hãng không công bố,Không hỗ trợ nâng cấp,256 GB SSD,"13.6""",Liquid Retina (2560 x 1664),IPS,Hãng không công bố,Wide color (P3) | 500 nits brightness | True Tone Technology | 1 tỷ màu,,,"Jack tai nghe 3.5 mm | MagSafe 3 | 2 x Thunderbolt 4.0 (hỗ trợ USB 4, USB Type-C, DisplayPort và Power Delivery)",Wi-Fi 6E (802.11ax) | Bluetooth 5.3,1080p FaceTime HD camera,Đơn sắc - Màu trắng,Bảo mật vân tay,3 microphones | 4 Loa | Dolby Atmos,Hãng không công bố,,,"Li-Po, 53.8 Wh",macOS Sequoia,03/2025,Dài 304.1 mm - Rộng 215 mm - Dày 11.3 mm - 1.24 kg,Vỏ nhôm tái chế 100%,MacBook,laptop
MacBook Air 13 inch M2 16GB/256GB,https://cdn.tgdd.vn/Products/Images/44/289472/apple-macbook-air-m2-2022-xanh-den-1-2-600x600.jpg,24490000.0,https://cdn.tgdd.vn/Products/Images/44/289472/apple-macbook-air-m2-2022-16gb-256gb-1-2-750x500.jpg; https://cdn.tgdd.vn/Products/Images/44/289472/apple-macbook-air-m2-2022-16gb-256gb-2-2-750x500.jpg; https://cdn.tgdd.vn/Products/Images/44/289472/apple-macbook-air-m2-2022-16gb-256gb-3-2-750x500.jpg; https://cdn.tgdd.vn/Products/Images/44/289472/apple-macbook-air-m2-2022-16gb-256gb-4-2-750x500.jpg; https://cdn.tgdd.vn/Products/Images/44/289472/apple-macbook-air-m2-2022-16gb-256gb-5-2-750x500.jpg,,Apple M2,8,Hãng không công bố,100GB/s,,,Card tích hợp - 8 nhân GPU,,,16 GB,Hãng không công bố,Hãng không công bố,Không hỗ trợ nâng cấp,256 GB SSD,"13.6""",Liquid Retina (2560 x 1664),,Hãng không công bố,Wide color (P3) | 500 nits brightness | True Tone Technology | 1 tỷ màu,,,Jack tai nghe 3.5 mm | MagSafe 3 | 2 x Thunderbolt 3,Wi-Fi 6 (802.11ax) | Bluetooth 5.3,1080p FaceTime HD camera,Đơn sắc - Màu trắng,Bảo mật vân tay,Spatial Audio | 3 microphones | 4 Loa | Dolby Atmos,Hãng không công bố,Sạc MagSafe,,Lên đến 18 giờ,macOS,6/2022,Dài 304.1 mm - Rộng 215 mm - Dày 11.3 mm - 1.24 kg,Vỏ kim loại,MacBook,laptop
MacBook Air 15 inch M4 16GB/256GB,https://cdn.tgdd.vn/Products/Images/44/335372/macbook-air-15-inch-m4-xanh-den-600x600.jpg,29490000.0,https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/44/335372/macbook-air-15-inch-m4-tgdd-1-638772009918239557-750x500.jpg; https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/44/335372/macbook-air-15-inch-m4-tgdd-2-638772009925199159-750x500.jpg; https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/44/335372/macbook-air-15-inch-m4-tgdd-3-638772009932318209-750x500.jpg; https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/44/335372/macbook-air-15-inch-m4-tgdd-4-638772009937757521-750x500.jpg; https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/44/335372/macbook-air-15-inch-m4-tgdd-5-638772009947477033-750x500.jpg,,Apple M4 - Hãng không công bố,10,Hãng không công bố,120 GB/s memory bandwidth,,,Card tích hợp - 10 nhân GPU,,,16 GB,Hãng không công bố,Hãng không công bố,Không hỗ trợ nâng cấp,256 GB SSD,"15.3""",Liquid Retina,IPS,Hãng không công bố,Wide color (P3) | 500 nits brightness | True Tone Technology | 1 tỷ màu,,,"Jack tai nghe 3.5 mm | MagSafe 3 | 2 x Thunderbolt 4.0 (hỗ trợ USB 4, USB Type-C, DisplayPort và Power Delivery)",Wi-Fi 6E (802.11ax) | Bluetooth 5.3,1080p FaceTime HD camera,Đơn sắc - Màu trắng,Bảo mật vân tay,Hệ thống âm thanh 6 loa | 3 microphones | Dolby Atmos,Hãng không công bố,,,"Li-Po, 66.5 Wh",macOS Sequoia,03/2025,Dài 340.4 mm - Rộng 237.6 mm - Dày 11.5 mm - 1.51 kg,Vỏ nhôm tái chế 100%,MacBook,laptop
MacBook Pro 14 inch M4 16GB/512GB,https://cdn.tgdd.vn/Products/Images/44/331564/macbook-pro-14-inch-m4-thumb-den-600x600.jpg,38290000.0,https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/44/331564/macbook-pro-14-inch-m4-16gb-512gb-tgdd-den-1-638660152965882579-750x500.jpg; https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/44/331564/macbook-pro-14-inch-m4-16gb-512gb-tgdd-den-2-638660152974639288-750x500.jpg; https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/44/331564/macbook-pro-14-inch-m4-16gb-512gb-tgdd-den-3-638660152980504304-750x500.jpg; https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/44/331564/macbook-pro-14-inch-m4-16gb-512gb-tgdd-den-4-638660152987511689-750x500.jpg; https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/44/331564/macbook-pro-14-inch-m4-16gb-512gb-tgdd-den-5-638660152994461437-750x500.jpg,,Apple M4 - Hãng không công bố,10,Hãng không công bố,120 GB/s memory bandwidth,,,Card tích hợp - 10 nhân GPU,,,16 GB,Hãng không công bố,Hãng không công bố,Hãng không công bố,512 GB SSD,"14.2""",Liquid Retina XDR display (3024 x 1964),,up to 120 Hz,"ProMotion | Độ sáng XDR: toàn màn hình 1000 nits, cao nhất 1600 nits (chỉ nội dung HDR) | Độ sáng SDR: lên đến 1000 nits | Wide color (P3) | True Tone Technology | 1 tỷ màu",,,"Jack tai nghe 3.5 mm | MagSafe 3 | HDMI | 3 x Thunderbolt 4 ( hỗ trợ DisplayPort, Thunderbolt 4 (up to 40Gb/s), USB 4 (up to 40Gb/s))",Wi-Fi 6E (802.11ax) | Bluetooth 5.3,1080p FaceTime HD camera,Đơn sắc - Màu trắng,Bảo mật vân tay,Hệ thống âm thanh 6 loa | Spatial Audio | 3 microphones | Dolby Atmos,Hãng không công bố,,SD,"Li-Po, 72.4 Wh",macOS Sequoia,10/2024,Dài 312.6 mm - Rộng 221.2 mm - Dày 15.5 mm - 1.55 kg,Vỏ nhôm tái chế 100%,MacBook,laptop
MacBook Pro 14 inch M4 16GB/1TB,https://cdn.tgdd.vn/Products/Images/44/331566/macbook-pro-14-inch-m4-16gb-1tb-thumb-600x600.jpg,44090000.0,https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/44/331566/macbook-pro-14-inch-m4-16gb-1tb-tgdd-den-1-638660154143734014-750x500.jpg; https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/44/331566/macbook-pro-14-inch-m4-16gb-1tb-tgdd-den-2-638660154149546094-750x500.jpg; https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/44/331566/macbook-pro-14-inch-m4-16gb-1tb-tgdd-den-3-638660154154972824-750x500.jpg; https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/44/331566/macbook-pro-14-inch-m4-16gb-1tb-tgdd-den-4-638660154161234171-750x500.jpg; https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/44/331566/macbook-pro-14-inch-m4-16gb-1tb-tgdd-den-5-638660154166641832-750x500.jpg,,Apple M4 - Hãng không công bố,10,Hãng không công bố,120 GB/s memory bandwidth,,,Card tích hợp - 10 nhân GPU,,,16 GB,Hãng không công bố,Hãng không công bố,Hãng không công bố,1 TB SSD,"14.2""",Liquid Retina XDR display (3024 x 1964),,up to 120 Hz,"ProMotion | Độ sáng XDR: toàn màn hình 1000 nits, cao nhất 1600 nits (chỉ nội dung HDR) | Độ sáng SDR: lên đến 1000 nits | Wide color (P3) | True Tone Technology | 1 tỷ màu",,,"Jack tai nghe 3.5 mm | MagSafe 3 | HDMI | 3 x Thunderbolt 4 ( hỗ trợ DisplayPort, Thunderbolt 4 (up to 40Gb/s), USB 4 (up to 40Gb/s))",Wi-Fi 6E (802.11ax) | Bluetooth 5.3,1080p FaceTime HD camera,Đơn sắc - Màu trắng,Bảo mật vân tay,Hệ thống âm thanh 6 loa | Spatial Audio | 3 microphones | Dolby Atmos,Hãng không công bố,,SD,"Li-Po, 72.4 Wh",macOS Sequoia,10/2024,Dài 312.6 mm - Rộng 221.2 mm - Dày 15.5 mm - 1.55 kg,Vỏ nhôm tái chế 100%,MacBook,laptop
MacBook Pro 14 inch M4 Pro 24GB/512GB,https://cdn.tgdd.vn/Products/Images/44/331568/macbook-pro-14-inch-m4-pro-den-600x600.jpg,47690000.0,https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/44/331568/macbook-pro-14-inch-m4-pro-tgdd-den-1-638660162994303552-750x500.jpg; https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/44/331568/macbook-pro-14-inch-m4-pro-tgdd-den-2-638660163000098362-750x500.jpg; https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/44/331568/macbook-pro-14-inch-m4-pro-tgdd-den-3-638660163007248822-750x500.jpg; https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/44/331568/macbook-pro-14-inch-m4-pro-tgdd-den-4-638660163015098135-750x500.jpg; https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/44/331568/macbook-pro-14-inch-m4-pro-tgdd-den-5-638660163021209622-750x500.jpg,,Apple M4 Pro - Hãng không công bố,12,Hãng không công bố,273 GB/s memory bandwidth,,,Card tích hợp - 16 nhân GPU,,,24 GB,Hãng không công bố,Hãng không công bố,Hãng không công bố,512 GB SSD,"14.2""",Liquid Retina XDR display (3024 x 1964),,up to 120 Hz,"ProMotion | Độ sáng XDR: toàn màn hình 1000 nits, cao nhất 1600 nits (chỉ nội dung HDR) | Độ sáng SDR: lên đến 1000 nits | Wide color (P3) | True Tone Technology | 1 tỷ màu",,,"Jack tai nghe 3.5 mm | MagSafe 3 | HDMI | 3 x Thunderbolt 5 (USB-C) (hỗ trợ Charging, DisplayPort, Thunderbolt 4 và USB 4 (up to 40Gb/s))",Wi-Fi 6E (802.11ax) | Bluetooth 5.3,1080p FaceTime HD camera,Đơn sắc - Màu trắng,Bảo mật vân tay,Hệ thống âm thanh 6 loa | Spatial Audio | 3 microphones | Dolby Atmos,Hãng không công bố,,SD,"Li-Po, 72.4 Wh",macOS Sequoia,10/2024,Dài 312.6 mm - Rộng 221.2 mm - Dày 15.5 mm - 1.6 kg,Vỏ nhôm tái chế 100%,MacBook,laptop
MacBook Air 13 inch M4 16GB/256GB Sạc 70W,https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/44/342024/macbook-air-13-inch-m4-16gb-256gb-sac-70w-thumb1-638903386914459770-600x600.jpg,26090000.0,https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/44/342024/macbook-air-13-inch-m4-16gb-256gb-sac-70w-xanh-duong-1-638903448405273739-750x500.jpg; https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/44/342024/macbook-air-13-inch-m4-16gb-256gb-sac-70w-xanh-duong-2-638903448396697157-750x500.jpg; https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/44/342024/macbook-air-13-inch-m4-16gb-256gb-sac-70w-xanh-duong-3-638903448389763760-750x500.jpg; https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/44/342024/macbook-air-13-inch-m4-16gb-256gb-sac-70w-xanh-duong-4-638903448384461272-750x500.jpg; https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/44/342024/macbook-air-13-inch-m4-16gb-256gb-sac-70w-xanh-duong-5-638903448378652561-750x500.jpg; https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/44/342024/macbook-air-13-inch-m4-16gb-256gb-sac-70w-xanh-duong-6-638903448372795996-750x500.jpg,,Apple M4 - Hãng không công bố,10,Hãng không công bố,120 GB/s memory bandwidth,,,Card tích hợp - 8 nhân GPU,,,16 GB,Hãng không công bố,Hãng không công bố,Không hỗ trợ nâng cấp,256 GB SSD,"13.6""",Liquid Retina (2560 x 1664),IPS,Hãng không công bố,Wide color (P3) | 500 nits brightness | True Tone Technology | 1 tỷ màu,,,"Jack tai nghe 3.5 mm | MagSafe 3 | 2 x Thunderbolt 4.0 (hỗ trợ USB 4, USB Type-C, DisplayPort và Power Delivery)",Wi-Fi 6E (802.11ax) | Bluetooth 5.3,1080p FaceTime HD camera,Đơn sắc - Màu trắng,Bảo mật vân tay,3 microphones | 4 Loa | Dolby Atmos,Hãng không công bố,,,"Li-Po, 53.8 Wh",macOS Sequoia,03/2025,Dài 304.1 mm - Rộng 215 mm - Dày 11.3 mm - 1.24 kg,Vỏ nhôm tái chế 100%,MacBook,laptop
MacBook Air 13 inch M4 24GB/256GB,https://cdn.tgdd.vn/Products/Images/44/335366/macbook-air-13-inch-m4-vang-600x600.jpg,31390000.0,https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/44/335366/macbook-air-13-inch-m4-1-638769628798946774-750x500.jpg; https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/44/335366/macbook-air-13-inch-m4-2-638769628805802447-750x500.jpg; https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/44/335366/macbook-air-13-inch-m4-3-638769628811538694-750x500.jpg; https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/44/335366/macbook-air-13-inch-m4-4-638769628818034881-750x500.jpg; https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/44/335366/macbook-air-13-inch-m4-5-638769628825042976-750x500.jpg,,Apple M4 - Hãng không công bố,10,Hãng không công bố,120 GB/s memory bandwidth,,,Card tích hợp - 10 nhân GPU,,,24 GB,Hãng không công bố,Hãng không công bố,Không hỗ trợ nâng cấp,256 GB SSD,"13.6""",Liquid Retina (2560 x 1664),IPS,Hãng không công bố,Wide color (P3) | 500 nits brightness | True Tone Technology | 1 tỷ màu,,,"Jack tai nghe 3.5 mm | MagSafe 3 | 2 x Thunderbolt 4.0 (hỗ trợ USB 4, USB Type-C, DisplayPort và Power Delivery)",Wi-Fi 6E (802.11ax) | Bluetooth 5.3,1080p FaceTime HD camera,Đơn sắc - Màu trắng,Bảo mật vân tay,3 microphones | 4 Loa | Dolby Atmos,Hãng không công bố,,,"Li-Po, 53.8 Wh",macOS Sequoia,03/2025,Dài 304.1 mm - Rộng 215 mm - Dày 11.3 mm - 1.24 kg,Vỏ nhôm tái chế 100%,MacBook,laptop
MacBook Pro 14 inch Nano M4 Max 36GB/1TB,https://cdn.tgdd.vn/Products/Images/44/332451/macbook-pro-14-nano-m4-max-den-600x600.jpg,79790000.0,https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/44/332451/macbook-pro-14-nano-m4-pro-24-512-tgdd-den-1-638682303341227597-750x500.jpg; https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/44/332451/macbook-pro-14-nano-m4-pro-24-512-tgdd-den-2-638682303348500067-750x500.jpg; https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/44/332451/macbook-pro-14-nano-m4-pro-24-512-tgdd-den-3-638682303355415860-750x500.jpg; https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/44/332451/macbook-pro-14-nano-m4-pro-24-512-tgdd-den-4-638682303361944006-750x500.jpg; https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/44/332451/macbook-pro-14-nano-m4-pro-24-512-tgdd-den-5-638682303369040599-750x500.jpg,,Apple M4 Max - Hãng không công bố,14,Hãng không công bố,410 GB/s memory bandwidth,,,Card tích hợp - 32 nhân GPU,,,36 GB,Hãng không công bố,Hãng không công bố,Hãng không công bố,1 TB SSD,"14.2""",Liquid Retina XDR display (3024 x 1964),,up to 120 Hz,"ProMotion | Độ sáng XDR: toàn màn hình 1000 nits, cao nhất 1600 nits (chỉ nội dung HDR) | Độ sáng SDR: lên đến 1000 nits | Wide color (P3) | Màn hình Nano-texture | True Tone Technology | 1 tỷ màu",,,"Jack tai nghe 3.5 mm | MagSafe 3 | HDMI | 3 x Thunderbolt 5 (USB-C) (hỗ trợ Charging, DisplayPort, Thunderbolt 4 và USB 4 (up to 40Gb/s))",Wi-Fi 6E (802.11ax) | Bluetooth 5.3,1080p FaceTime HD camera,Đơn sắc - Màu trắng,Bảo mật vân tay,Hệ thống âm thanh 6 loa | Spatial Audio | 3 microphones | Dolby Atmos,Hãng không công bố,,SD,"Li-Po, 72.4 Wh",macOS Sequoia,10/2024,Dài 312.6 mm - Rộng 221.2 mm - Dày 15.5 mm - 1.62 kg,Vỏ nhôm tái chế 100%,MacBook,laptop
MacBook Pro 14 inch Nano M4 16GB/512GB,https://cdn.tgdd.vn/Products/Images/44/332448/macbook-pro-14-inch-m4-thumb-den-600x600.jpg,41690000.0,https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/44/332448/macbook-pro-14-nano-m4-16-512-den-tgdd-1-638682285745176008-750x500.jpg; https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/44/332448/macbook-pro-14-nano-m4-16-512-den-tgdd-2-638682285755776945-750x500.jpg; https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/44/332448/macbook-pro-14-nano-m4-16-512-den-tgdd-3-638682285761712519-750x500.jpg; https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/44/332448/macbook-pro-14-nano-m4-16-512-den-tgdd-4-638682285767856306-750x500.jpg; https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/44/332448/macbook-pro-14-nano-m4-16-512-den-tgdd-5-638682285776811668-750x500.jpg,,Apple M4 - Hãng không công bố,10,Hãng không công bố,120 GB/s memory bandwidth,,,Card tích hợp - 10 nhân GPU,,,16 GB,Hãng không công bố,Hãng không công bố,Hãng không công bố,512 GB SSD,"14.2""",Liquid Retina XDR display (3024 x 1964),,up to 120 Hz,"ProMotion | Độ sáng XDR: toàn màn hình 1000 nits, cao nhất 1600 nits (chỉ nội dung HDR) | Độ sáng SDR: lên đến 1000 nits | Wide color (P3) | Màn hình Nano-texture | True Tone Technology | 1 tỷ màu",,,"Jack tai nghe 3.5 mm | MagSafe 3 | HDMI | 3 x Thunderbolt 4 ( hỗ trợ DisplayPort, Thunderbolt 4 (up to 40Gb/s), USB 4 (up to 40Gb/s))",Wi-Fi 6E (802.11ax) | Bluetooth 5.3,1080p FaceTime HD camera,Đơn sắc - Màu trắng,Bảo mật vân tay,Hệ thống âm thanh 6 loa | Spatial Audio | 3 microphones | Dolby Atmos,Hãng không công bố,,SD,"Li-Po, 72.4 Wh",macOS Sequoia,10/2024,Dài 312.6 mm - Rộng 221.2 mm - Dày 15.5 mm - 1.55 kg,Vỏ nhôm tái chế 100%,MacBook,laptop
