Tên,Cấu hình,Ảnh,Ảnh tổng thế,Giá,thumb
Xmobile 45W MH803 kèm Cáp Lightning và Type C,"Cấu hình: [('Dung lượng pin', '20000 mAh'), ('Hiệu suất sạc', '60%'), ('Lõi pin', 'Polymer'), ('Công nghệ/Tiện ích', 'Kèm cáp Type C, cáp Lightning | Màn hình LED báo hiệu | Power Delivery | Quick Charge 3.0'), ('Thời gian sạc đầy pin', '4 - 5 giờ (dùng Adapter 3A)'), ('Nguồn ra', 'Type C/ Cáp Type C: 5V - 2.4A, 9V - 3A, 12V - 3A, 15V - 3A, 20V - 2.25A (Max 45W) | USB: 5V - 2.4A, 9V - 2A, 12V - 1.5A, 10V - 2.25A (Max 22.5W) | Cáp Lightning: 5V - 2A, 9V - 3A (Max 27W)'), ('Nguồn vào', 'Type C/ Cáp Type C: 5V - 2.4A, 9V - 3A, 12V - 3A, 15V - 3A, 20V - 2.25A (Max 45W)'), ('Kích thước', 'Dày 3.2 cm - Rộng 7.1 cm - Dài 10 cm'), ('Khối lượng', '326 g'), ('Thương hiệu của', 'Thế Giới Di Động'), ('Sản xuất tại', 'Trung Quốc'), ('Hãng', 'Xmobile. Xem thông tin hãng')]",https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/57/337132/pin-sac-du-phong-polymer-20000mah-type-c-pd-qc-3-0-45w-xmobile-mh803-kem-cap-lightning-va-type-c-den-1-638812901392324784-750x500.jpg; https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/57/337132/pin-sac-du-phong-polymer-20000mah-type-c-pd-qc-3-0-45w-xmobile-mh803-kem-cap-lightning-va-type-c-den-2-638812901399280615-750x500.jpg; https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/57/337132/pin-sac-du-phong-polymer-20000mah-type-c-pd-qc-3-0-45w-xmobile-mh803-kem-cap-lightning-va-type-c-den-3-638812901405326503-750x500.jpg; https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/57/337132/pin-sac-du-phong-polymer-20000mah-type-c-pd-qc-3-0-45w-xmobile-mh803-kem-cap-lightning-va-type-c-den-4-638812901411336040-750x500.jpg; https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/57/337132/pin-sac-du-phong-polymer-20000mah-type-c-pd-qc-3-0-45w-xmobile-mh803-kem-cap-lightning-va-type-c-den-5-638812901417560444-750x500.jpg,,750000.0,https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/57/337132/pin-sac-du-phong-polymer-20000mah-type-c-pd-qc-3-0-45w-xmobile-mh803-kem-cap-lightning-va-type-c-thumb-638813653813573619-600x600.jpg
Anker Zolo 165W A1695 kèm cáp dây rút Type C,"Cấu hình: [('Dung lượng pin', '25000 mAh'), ('Hiệu suất sạc', '60%'), ('Lõi pin', 'Li-Ion'), ('Công nghệ/Tiện ích', 'Màn hình LED báo hiệu | Power Delivery | Quick Charge 3.0 | Cáp dây rút Type C dài 70 cm | Kèm cáp Type C dài 30 cm'), ('Thời gian sạc đầy pin', '3 giờ (dùng Adapter 65W)'), ('Nguồn ra', 'Type C: 5V - 3A, 9V - 2.22A, 10V - 2.25A, 12V - 1.5A, 15V - 3A, 20V - 5A (Max 100W) | USB: 5V - 3A, 9V - 2.22A, 10V - 2.25A, 12V - 1.5A, 3.3V-11V - 3A (Max 33W)'), ('Nguồn vào', 'Type C: 5V - 3A, 9V - 2.22A, 12V - 1.5A, 15V - 3A, 20V - 5A (Max 100W)'), ('Kích thước', 'Dày 4.9 cm - Rộng 5.4 cm - Dài 15.7 cm'), ('Khối lượng', '555 g'), ('Thương hiệu của', 'Trung Quốc'), ('Sản xuất tại', 'Trung Quốc'), ('Hãng', 'Anker. Xem thông tin hãng')]",https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/57/336355/pin-sac-du-phong-25000mah-type-c-pd-qc-3-0-165w-anker-zolo-a1695-kem-cap-1-638792914702938941-750x500.jpg; https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/57/336355/pin-sac-du-phong-25000mah-type-c-pd-qc-3-0-165w-anker-zolo-a1695-kem-cap-2-638792914710419593-750x500.jpg; https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/57/336355/pin-sac-du-phong-25000mah-type-c-pd-qc-3-0-165w-anker-zolo-a1695-kem-cap-4-638792914726386845-750x500.jpg; https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/57/336355/pin-sac-du-phong-25000mah-type-c-pd-qc-3-0-165w-anker-zolo-a1695-kem-cap-5-638792914732869872-750x500.jpg,,1890000.0,https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/57/336355/pin-sac-du-phong-25000mah-type-c-pd-qc-3-0-165w-anker-zolo-a1695-kem-cap-thumb-01-638792934382627791-600x600.jpg
Xmobile 55W JP326,"Cấu hình: [('Dung lượng pin', '10000 mAh'), ('Hiệu suất sạc', '64%'), ('Lõi pin', 'Li-Ion'), ('Công nghệ/Tiện ích', 'Màn hình LED báo hiệu | Power Delivery | Quick Charge 3.0'), ('Thời gian sạc đầy pin', '2 - 3 giờ (dùng Adapter 2A)'), ('Nguồn ra', 'Type C1: 5V - 3A, 9V - 3A, 12V - 2.5, 15V - 2A (Max 30W) | Type C2: 5V - 3A, 9V - 3A, 12V - 3A, 15V - 3A, 20V - 2.25A, 11V - 5A (Max 55W) | USB: 5V - 3A, 9V - 3A, 12V - 2.5A, 15V - 2A (Max 30W)'), ('Nguồn vào', 'Type C1: 5V - 3A, 9V - 3A, 12V - 2.5, 15V - 2A (Max 30W) | Type C2: 5V - 3A, 9V - 3A, 12V - 3A,15V - 3A, 20V - 2.25A, 11V - 5A (Max 55W)'), ('Kích thước', 'Dày 3.2 cm - Rộng 5 cm - Dài 8.5 cm'), ('Khối lượng', '190 g'), ('Thương hiệu của', 'Thế Giới Di Động'), ('Sản xuất tại', 'Trung Quốc'), ('Hãng', 'Xmobile. Xem thông tin hãng')]",https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/57/337695/pin-sac-du-phong-10000mah-type-c-pd-qc-3-0-55w-xmobile-jp326-1-638820513965060877-750x500.jpg; https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/57/337695/pin-sac-du-phong-10000mah-type-c-pd-qc-3-0-55w-xmobile-jp326-2-638820513972580990-750x500.jpg; https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/57/337695/pin-sac-du-phong-10000mah-type-c-pd-qc-3-0-55w-xmobile-jp326-3-638820513978225505-750x500.jpg; https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/57/337695/pin-sac-du-phong-10000mah-type-c-pd-qc-3-0-55w-xmobile-jp326-4-638820513985756917-750x500.jpg; https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/57/337695/pin-sac-du-phong-10000mah-type-c-pd-qc-3-0-55w-xmobile-jp326-5-638820513991532707-750x500.jpg; https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/57/337695/pin-sac-du-phong-10000mah-type-c-pd-qc-3-0-55w-xmobile-jp326-6-638820513997498652-750x500.jpg,,590000.0,https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/57/337695/pin-sac-du-phong-10000mah-type-c-pd-qc-3-0-55w-xmobile-jp326-thumb-638820525126650838-600x600.jpg
Anker MagGo 30W A1664,"Cấu hình: [('Dung lượng pin', '10000 mAh'), ('Hiệu suất sạc', '50%'), ('Lõi pin', 'Polymer'), ('Công nghệ/Tiện ích', 'Đèn LED báo hiệu | Sạc không dây Magnetic | Power Delivery | PowerIQ'), ('Thời gian sạc đầy pin', '3 - 4 giờ (dùng Adapter 3A)'), ('Nguồn ra', 'Type C: 5V - 3A, 9V - 3A, 12V - 2.5A, 15V - 2A, 20V - 1.5A (Max 30W) | Sạc không dây: 5W - 7.5W - 15W'), ('Nguồn vào', 'Type C: 5V - 3A, 9V - 3A, 15V - 2A (Max 30W)'), ('Kích thước', 'Dày 1.5 cm - Rộng 7 cm - Dài 10 cm'), ('Khối lượng', '250 g'), ('Thương hiệu của', 'Trung Quốc'), ('Sản xuất tại', 'Trung Quốc'), ('Hãng', 'Anker. Xem thông tin hãng')]",https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/57/331290/pin-sac-du-phong-polymer-10000mah-khong-day-magnetic-qi2-type-c-pd-30w-anker-maggo-a1664-trang-1-638652782522364143-750x500.jpg; https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/57/331290/pin-sac-du-phong-polymer-10000mah-khong-day-magnetic-qi2-type-c-pd-30w-anker-maggo-a1664-trang-2-638652782514551815-750x500.jpg; https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/57/331290/pin-sac-du-phong-polymer-10000mah-khong-day-magnetic-qi2-type-c-pd-30w-anker-maggo-a1664-trang-3-638652782508571707-750x500.jpg; https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/57/331290/pin-sac-du-phong-polymer-10000mah-khong-day-magnetic-qi2-type-c-pd-30w-anker-maggo-a1664-trang-4-638652782501362199-750x500.jpg; https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/57/331290/pin-sac-du-phong-polymer-10000mah-khong-day-magnetic-qi2-type-c-pd-30w-anker-maggo-a1664-trang-5-638652782493095621-750x500.jpg,,1290000.0,https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/57/331290/sac-du-phong-polymer-10000mah-khong-day-magnetic-qi2-30w-anker-maggo-a1664-thumb-638652925489493884-600x600.jpg
Xiaomi 33W PB1033MI kèm Cáp Type C,"Cấu hình: [('Dung lượng pin', '10000 mAh'), ('Hiệu suất sạc', '56%'), ('Lõi pin', 'Li-Ion'), ('Công nghệ/Tiện ích', 'Power Delivery | Quick Charge 3.0'), ('Thời gian sạc đầy pin', 'Khoảng 3 giờ (dùng Adapter 3A)'), ('Nguồn ra', 'USB: 5V - 3A, 9V - 2.23A, 10V - 2.25A, 12V - 1.67A (Max 22.5W) | Type C/ Cáp Type C: 5V - 3A, 9V - 3A, 11V - 3A, 12V - 2.5A, 15V - 2A, 20V - 1.5A (Max 33W)'), ('Nguồn vào', 'Type C/ Cáp Type C: 5V - 3A, 9V - 3A, 12V - 2.5A (Max 30W)'), ('Kích thước', 'Dày 2.6 cm - Rộng 6.59 cm - Dài 8.09 cm'), ('Khối lượng', '211 g'), ('Thương hiệu của', 'Trung Quốc'), ('Sản xuất tại', 'Trung Quốc'), ('Hãng', 'Xiaomi. Xem thông tin hãng')]",https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/57/334149/pin-sac-du-phong-10000mah-type-c-pd-qc-3-0-33w-xiaomi-pb1033mi-be-1-638729820957338955-750x500.jpg; https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/57/334149/pin-sac-du-phong-10000mah-type-c-pd-qc-3-0-33w-xiaomi-pb1033mi-be-2-638729820948405925-750x500.jpg; https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/57/334149/pin-sac-du-phong-10000mah-type-c-pd-qc-3-0-33w-xiaomi-pb1033mi-be-3-638729820938850034-750x500.jpg; https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/57/334149/pin-sac-du-phong-10000mah-type-c-pd-qc-3-0-33w-xiaomi-pb1033mi-be-4-638729820928498405-750x500.jpg; https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/57/334149/pin-sac-du-phong-10000mah-type-c-pd-qc-3-0-33w-xiaomi-pb1033mi-be-5-638731516105203134-750x500.jpg,,590000.0,https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/57/334149/pin-sac-du-phong-10000mah-type-c-pd-qc-3-0-33w-xiaomi-pb1033mi-thumb-638730682186329587-600x600.jpg
Ugreen 30W PB773 kèm Cáp Type C,"Cấu hình: [('Dung lượng pin', '10000 mAh'), ('Hiệu suất sạc', '66%'), ('Lõi pin', 'Li-Polymer'), ('Công nghệ/Tiện ích', 'Kèm cáp Type C | Màn hình LED báo hiệu | Power Delivery | Sạc không dây chuẩn Qi2'), ('Thời gian sạc đầy pin', '3 - 4 giờ (dùng Adapter PD 30W)'), ('Nguồn ra', 'Sạc không dây 25W (iOS) | Type C/ Cáp Type C: 5V - 3A, 9V - 3A, 10V - 2.25A, 12V - 2.5A, 15V - 2A, 20V - 1.5A (Max 30W)'), ('Nguồn vào', 'Type C/ Cáp Type C: 5V - 3A, 9V - 3A, 12V - 2.5A, 15V - 2A, 20V - 1.5A (Max 30W)'), ('Kích thước', 'Dày 1.9 cm - Rộng 6.8 cm - Dài 10.5 cm'), ('Khối lượng', '357 g'), ('Thương hiệu của', 'Trung Quốc'), ('Sản xuất tại', 'Trung Quốc'), ('Hãng', 'Ugreen. Xem thông tin hãng')]",https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/57/344487/sac-du-phong-polymer-khong-day-magnetic-qi2-2-type-c-pd-30w-ugreen-pb773-01-638925786690611052-750x500.jpg; https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/57/344487/sac-du-phong-polymer-khong-day-magnetic-qi2-2-type-c-pd-30w-ugreen-pb773-2-638929220269523335-750x500.jpg; https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/57/344487/sac-du-phong-polymer-khong-day-magnetic-qi2-2-type-c-pd-30w-ugreen-pb773-3-638929220276192009-750x500.jpg; https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/57/344487/sac-du-phong-polymer-khong-day-magnetic-qi2-2-type-c-pd-30w-ugreen-pb773-4-638929220282660927-750x500.jpg; https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/57/344487/sac-du-phong-polymer-khong-day-magnetic-qi2-2-type-c-pd-30w-ugreen-pb773-5-638929220293979113-750x500.jpg; https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/57/344487/sac-du-phong-polymer-khong-day-magnetic-qi2-2-type-c-pd-30w-ugreen-pb773-99-638925786698008770-750x500.jpg,,1590000.0,https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/57/344487/sac-du-phong-polymer-khong-day-magnetic-qi2-2-type-c-pd-30w-ugreen-pb773-thumb-638926650632335177-600x600.jpg
Anker 45W A1638 kèm cáp dây rút Type C,"Cấu hình: [('Dung lượng pin', '10000 mAh'), ('Hiệu suất sạc', '60%'), ('Lõi pin', 'Li-Ion'), ('Công nghệ/Tiện ích', 'Kèm cáp dây rút Type-C | Màn hình LED báo hiệu | Power Delivery | Quick Charge 3.0'), ('Thời gian sạc đầy pin', '2 - 3 giờ (dùng Adapter 30W)'), ('Nguồn ra', 'USB: 5V - 3A, 9V - 2A, 10V - 2.25A, 12V - 1.5A (Max 22.5W) | Type C/ Cáp Type C: 5V - 3A, 9V - 3A, 10V - 2.25A, 12V - 3A, 15V - 3A, 20V- 2.25A (Max 45W)'), ('Nguồn vào', 'Type C: 5V - 3A, 9V - 3A, 12V - 2.5A, 15V - 2A (Max 30W)'), ('Kích thước', 'Dày 3.6 cm - Rộng 5 cm - Dài 8.1 cm'), ('Khối lượng', '231 g'), ('Thương hiệu của', 'Trung Quốc'), ('Sản xuất tại', 'Trung Quốc'), ('Hãng', 'Anker. Xem thông tin hãng')]",https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/57/343008/pin-sac-du-phong-10000mah-type-c-pd-qc-3-0-45w-anker-a1638-01-638919135208665312-750x500.jpg; https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/57/343008/pin-sac-du-phong-10000mah-type-c-pd-qc-3-0-45w-anker-a1638-02-638920585977973009-750x500.jpg; https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/57/343008/pin-sac-du-phong-10000mah-type-c-pd-qc-3-0-45w-anker-a1638-2-638920585971842282-750x500.jpg; https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/57/343008/pin-sac-du-phong-10000mah-type-c-pd-qc-3-0-45w-anker-a1638-3-638920585983754728-750x500.jpg; https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/57/343008/pin-sac-du-phong-10000mah-type-c-pd-qc-3-0-45w-anker-a1638-4-638920585990831490-750x500.jpg; https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/57/343008/pin-sac-du-phong-10000mah-type-c-pd-qc-3-0-45w-anker-a1638-5-638920585996650754-750x500.jpg,,1050000.0,https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/57/343008/pin-sac-du-phong-10000mah-type-c-pd-qc-3-0-45w-anker-a1638-thumb-638937266483895520-600x600.jpg
Xmobile 22.5W F13 kèm Cáp Type C,"Cấu hình: [('Dung lượng pin', '10000 mAh'), ('Hiệu suất sạc', '60%'), ('Lõi pin', 'Li-Polymer'), ('Công nghệ/Tiện ích', 'Kèm cáp Type C | Màn hình LED báo hiệu | Power Delivery'), ('Thời gian sạc đầy pin', '3 giờ (dùng Adapter PD 20W)'), ('Nguồn ra', 'Type C: 5V - 3A, 9V - 2.2A, 12V - 1.67A (Max 20W) | Cáp Type C: 5V - 3A, 9V - 2.2A, 10V - 2.25A, 12V - 1.67A (Max 22.5W)'), ('Nguồn vào', 'Type C/ Cáp Type C: 5V - 2A, 9V - 2A, 12V - 1.5A (Max 18W)'), ('Kích thước', 'Dày 2.5 cm - Rộng 5.5 cm - Dài 7.1 cm'), ('Khối lượng', '176 g'), ('Thương hiệu của', 'Thế Giới Di Động'), ('Sản xuất tại', 'Trung Quốc'), ('Hãng', 'Xmobile. Xem thông tin hãng')]",https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/57/344491/pin-sac-du-phong-polymer-10000mah-type-c-pd-22-5w-xmobile-f13-kem-cap-type-c-hong-01-638925958986440977-750x500.jpg; https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/57/344491/sac-du-phong-polymer-10000mah-type-c-pd-22-5w-xmobile-f13-kem-cap-type-c-hong-2-638929259201981729-750x500.jpg; https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/57/344491/sac-du-phong-polymer-10000mah-type-c-pd-22-5w-xmobile-f13-kem-cap-type-c-hong-4-638929259208885293-750x500.jpg; https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/57/344491/sac-du-phong-polymer-10000mah-type-c-pd-22-5w-xmobile-f13-kem-cap-type-c-hong-5-638929259250319665-750x500.jpg; https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/57/344491/sac-du-phong-polymer-10000mah-type-c-pd-22-5w-xmobile-f13-kem-cap-type-c-hong-6-638929259257121591-750x500.jpg; https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/57/344491/pin-sac-du-phong-polymer-10000mah-type-c-pd-22-5w-xmobile-f13-kem-cap-type-c-hong-99-638925958992618266-750x500.jpg,,600000.0,https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/57/344491/sac-du-phong-polymer-10000mah-type-c-pd-22-5w-xmobile-f13-kem-cap-type-c-thumb-638926654804133624-600x600.jpg
Xmobile 22.5W New Power P11 kèm Cáp Type C,"Cấu hình: [('Dung lượng pin', '10000 mAh'), ('Hiệu suất sạc', '60%'), ('Lõi pin', 'Polymer'), ('Công nghệ/Tiện ích', 'Đèn LED báo hiệu | Kèm cáp Type C | Sạc không dây Magnetic | Power Delivery | Chân đế đỡ'), ('Thời gian sạc đầy pin', '3 - 4 giờ (dùng Adapter 2A)'), ('Nguồn ra', 'Sạc không dây 15W | Type C/ Cáp Type C: 5V - 3A, 9V - 2.22A, 10V - 2.25A, 12V - 1.67A (Max 22.5W)'), ('Nguồn vào', 'Type-C/ Cáp Type-C1: 5V - 3A, 9V - 2A, 12V - 1.5A'), ('Kích thước', 'Dày 2 cm - Rộng 6.7 cm - Dài 9.8 cm'), ('Khối lượng', '194.3 g'), ('Thương hiệu của', 'Thế Giới Di Động'), ('Sản xuất tại', 'Trung Quốc'), ('Hãng', 'Xmobile. Xem thông tin hãng')]",https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/57/341849/xmobile-new-power-p11-nau-1-638903805680014410-750x500.jpg; https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/57/341849/xmobile-new-power-p11-nau-2-638903805685238501-750x500.jpg; https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/57/341849/xmobile-new-power-p11-nau-3-638903805691306466-750x500.jpg; https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/57/341849/xmobile-new-power-p11-nau-4-638903805697243983-750x500.jpg; https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/57/341849/xmobile-new-power-p11-nau-5-638903805702858180-750x500.jpg,,590000.0,https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/57/341849/pin-sac-du-phong-polymer-10000mah-khong-day-magnetic-type-c-pd-22-5w-xmobile-new-power-p11-kem-cap-type-c-thumb-638900765166922144-600x600.jpg
Ugreen 20W Uno PB764,"Cấu hình: [('Dung lượng pin', '10000 mAh'), ('Hiệu suất sạc', '60%'), ('Lõi pin', 'Polymer'), ('Công nghệ/Tiện ích', 'Màn hình TFT (15+ biểu tượng cảm xúc) | Power Delivery | Sạc không dây chuẩn Qi2'), ('Thời gian sạc đầy pin', '3.5 giờ (dùng Adapter PD 20W)'), ('Nguồn ra', 'Sạc không dây: 5 W - 7.5 W - 10 W - 15 W | Type C: 5V - 3A, 9V - 2.22A, 12V - 1.5A (Max 20W)'), ('Nguồn vào', 'Type C: 5V - 3A, 9V - 2.22A, 12V - 1.5A (Max 20W)'), ('Kích thước', 'Dày 2.2 cm - Rộng 7 cm - Dài 10.6 cm'), ('Khối lượng', '240 g'), ('Thương hiệu của', 'Trung Quốc'), ('Sản xuất tại', 'Trung Quốc'), ('Hãng', 'Ugreen. Xem thông tin hãng')]",https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/57/335788/sac-du-phong-polymer-10000mah-khong-day-qi2-type-c-pd-20w-ugreen-uno-pb764-xam-1-638781705310951319-750x500.jpg; https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/57/335788/sac-du-phong-polymer-10000mah-khong-day-qi2-type-c-pd-20w-ugreen-uno-pb764-xam-2-638781705317689032-750x500.jpg; https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/57/335788/sac-du-phong-polymer-10000mah-khong-day-qi2-type-c-pd-20w-ugreen-uno-pb764-xam-3-638781705304220116-750x500.jpg; https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/57/335788/sac-du-phong-polymer-10000mah-khong-day-qi2-type-c-pd-20w-ugreen-uno-pb764-xam-4-638781705324277235-750x500.jpg; https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/57/335788/sac-du-phong-polymer-10000mah-khong-day-qi2-type-c-pd-20w-ugreen-uno-pb764-xam-5-638781705331153999-750x500.jpg; https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/57/335788/sac-du-phong-polymer-10000mah-khong-day-qi2-type-c-pd-20w-ugreen-uno-pb764-xam-6-638781705339649435-750x500.jpg,,1150000.0,https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/57/335788/sac-du-phong-polymer-10000mah-khong-day-qi2-type-c-pd-20w-ugreen-uno-pb764-thumb-638781903605511945-600x600.jpg
