Name,thumb
Samsung Galaxy S25 FE 5G 8GB/256GB,https://cdn.tgdd.vn/Products/Images/42/342565/samsung-galaxy-s25-fe-navy-thumb-600x600.jpg
Samsung Galaxy A17 5G 8GB/128GB,https://cdn.tgdd.vn/Products/Images/42/341688/galaxy-a17-5g-gray-thumbai-600x600.jpg
Samsung Galaxy A07 4GB/64GB,https://cdn.tgdd.vn/Products/Images/42/341802/samsung-galaxy-a07-violet-thumb-600x600.jpg
Samsung Galaxy S25 Ultra 5G 12GB/256GB,https://cdn.tgdd.vn/Products/Images/42/333347/samsung-galaxy-s25-ultra-blue-thumbai-600x600.jpg
Samsung Galaxy Z Fold7 5G 12GB/256GB,https://cdn.tgdd.vn/Products/Images/42/338738/samsung-galaxy-z-fold7-black-thumb-1-600x600.jpg
Samsung Galaxy A56 5G 12GB/256GB,https://cdn.tgdd.vn/Products/Images/42/334932/samsung-galaxy-a56-5g-gray-thumb-1-600x600.jpg
Samsung Galaxy A26 5G 6GB/128GB,https://cdn.tgdd.vn/Products/Images/42/335915/samsung-galaxy-a26-5g-black-thumbn-600x600.jpg
Samsung Galaxy A06 5G 6GB/128GB,https://cdn.tgdd.vn/Products/Images/42/335234/samsung-galaxy-a06-5g-black-thumbn-600x600.jpg
Samsung Galaxy A36 5G 12GB/256GB,https://cdn.tgdd.vn/Products/Images/42/334930/samsung-galaxy-a36-5g-green-thumb-600x600.jpg
Samsung Galaxy S24 5G 8GB/256GB,https://cdn.tgdd.vn/Products/Images/42/319665/samsung-galaxy-s24-256gb-5g-thumb-600x600.jpg
Samsung Galaxy Z Flip7 5G 12GB/256GB,https://cdn.tgdd.vn/Products/Images/42/338736/samsung-galaxy-z-flip7-red-thumb-600x600.jpg
Samsung Galaxy S24 FE 5G 8GB/256GB,https://cdn.tgdd.vn/Products/Images/42/329785/samsung-galaxy-s24-fe-8gb-256gb-thumb-600x600.jpg
Samsung Galaxy S25 5G 12GB/256GB,https://cdn.tgdd.vn/Products/Images/42/333363/samsung-galaxy-s25-green-thumbai-600x600.jpg
Samsung Galaxy Z Flip7 FE 5G 8GB/128GB,https://cdn.tgdd.vn/Products/Images/42/338741/samsung-galaxy-z-flip7-fe-white-thumb-600x600.jpg
Samsung Galaxy Z Fold6 5G 12GB/256GB,https://cdn.tgdd.vn/Products/Images/42/320721/samsung-galaxy-z-fold6-navy-thumbn-600x600.jpg
Samsung Galaxy A16 5G 8GB/256GB,https://cdn.tgdd.vn/Products/Images/42/331204/samsung-galaxy-a16-5g-gold-thumb-600x600.jpg
Samsung Galaxy A06 4GB/64GB,https://cdn.tgdd.vn/Products/Images/42/328752/samsung-galaxy-a06-blue-thumbn-600x600.jpg
Samsung Galaxy S24 Ultra 5G 12GB/256GB,https://cdn.tgdd.vn/Products/Images/42/307174/samsung-galaxy-s24-ultra-5g-600x600.jpg
Samsung Galaxy A16 8GB/128GB,https://cdn.tgdd.vn/Products/Images/42/331207/samsung-galaxy-a16-green-thumb-1-600x600.jpg
Samsung Galaxy S25 Plus 5G 12GB/256GB,https://cdn.tgdd.vn/Products/Images/42/333359/samsung-galaxy-s25-plus-blue-thumbai-600x600.jpg
OPPO A5 8GB/128GB,https://cdn.tgdd.vn/Products/Images/42/341378/oppo-a5-green-thumbn-600x600.jpg
OPPO Reno14 F 5G 12GB/256GB,https://cdn.tgdd.vn/Products/Images/42/339177/oppo-reno14-f-5g-blue-thumb-600x600.jpg
